building,name,area,perim,shape,sample,vertices
yes,ranjith,252.51803,64.36983,0.76584,,5
yes,richman,248.91429,76.71822,0.53145,,11
yes,richman,277.00597,73.57133,0.6431,,9
yes,venkana,243.68479,66.70811,0.68815,,9
yes,teresa,269.97883,73.48494,0.62826,5,9
yes,andy,251.59667,73.7093,0.58193,5,13
yes,kelvin,203.72528,60.4836,0.69981,48,9
yes,martha,226.43249,64.73437,0.67901,,13
yes,iqrha,341.09559,73.9331,0.78417,66,5
yes,bhavana,355.09916,81.26271,0.67574,1,9
yes,kelvin,280.86612,71.35518,0.6932,60,7
yes,ashley,184.9881,64.70825,0.55518,16,13
yes,andy,176.58877,63.35289,0.55289,53,13
yes,manohar,151.3288,54.60386,0.6378,72,7
yes,ruben,218.91508,63.00695,0.69296,67,9
yes,venkana,212.34439,66.54143,0.60265,,11
yes,bhojaraj,18.63293,18.52576,0.68224,,5
yes,ranjith,191.56443,56.10709,0.7647,,7
yes,richman,230.37998,67.54587,0.63454,47,7
yes,iqrha,259.39584,68.38947,0.69694,,9
yes,venkana,191.38974,60.36731,0.65997,,9
yes,teresa,235.89125,63.45235,0.73625,50,9
yes,bhojaraj,296.89556,68.94528,0.78488,66,5
yes,ashley,119.94613,45.71323,0.72129,36,7
yes,richman,178.62591,58.90904,0.64683,39,9
yes,ruben,128.84982,47.60864,0.71437,37,7
yes,venkana,246.25727,65.14275,0.72923,41,7
yes,teesta,193.17893,55.64253,0.78407,55,5
yes,ashley,204.26627,65.25819,0.60275,14,13
yes,bhojaraj,164.55471,56.73256,0.64247,11,7
yes,manohar,190.89102,60.6333,0.65249,73,7
yes,ruben,198.60003,57.90389,0.74434,,7
yes,bhavana,206.35131,57.50352,0.7842,,5
yes,bhojaraj,114.49404,46.16288,0.67516,10,9
yes,ranjith,277.66248,78.77912,0.56222,,11
yes,richman,54.96052,29.86841,0.77417,,6
yes,iqrha,237.35359,70.15636,0.606,,11
yes,bhavana,209.11257,77.86452,0.43342,30,15
yes,teresa,263.86177,69.73898,0.68177,67,9
yes,bhojaraj,216.53137,59.00229,0.78161,44,5
yes,ranjith,244.63996,63.21359,0.76934,,5
yes,martha,233.96681,73.49767,0.54427,31,13
yes,ruben,103.22919,45.56489,0.62481,,7
yes,bhavana,187.26756,55.89123,0.75333,,7
yes,teesta,201.82339,68.03103,0.54798,3,9
yes,ashley,267.98395,72.05178,0.64868,,9
yes,andy,198.23374,65.90005,0.57361,47,9
yes,richman,199.58338,65.5292,0.58407,,11
yes,ruben,276.72985,78.6895,0.56161,,11
yes,teresa,247.11665,65.66544,0.72017,41,7
yes,bhojaraj,132.06191,46.40131,0.77077,30,5
yes,ranjith,152.31778,49.50191,0.78112,35,5
yes,martha,174.53191,58.62589,0.63812,,9
yes,iqrha,197.43917,56.31168,0.78243,,5
yes,venkana,182.66075,60.55413,0.62599,33,7
yes,ranjith,187.86208,55.98478,0.7532,47,5
yes,bhojaraj,193.8298,56.36897,0.76657,49,5
yes,kelvin,163.23325,54.16955,0.69905,59,7
yes,richman,36.09373,26.15862,0.66284,,5
yes,ruben,126.4013,47.07137,0.71688,26,7
yes,venkana,230.43351,61.97683,0.75387,28,7
yes,teesta,200.65408,61.48759,0.66693,5,13
yes,ashley,241.77444,64.57281,0.72865,38,9
yes,bhojaraj,162.92331,71.65336,0.39877,70,13
yes,richman,125.44895,47.46752,0.69965,,7
yes,ruben,129.84725,47.87387,0.71194,35,7
yes,teresa,226.75652,64.91704,0.67616,42,9
yes,bhojaraj,212.49654,67.62438,0.58392,73,9
yes,ranjith,237.98756,63.86176,0.7333,43,7
yes,martha,203.31673,57.84027,0.7637,,7
yes,iqrha,245.60922,75.72078,0.5383,,11
yes,bhavana,247.44913,65.62736,0.72198,45,7
yes,ranjith,242.80569,67.01713,0.67935,,11
yes,andy,148.08008,55.65818,0.60069,19,11
yes,kelvin,116.5509,45.51531,0.70698,24,7
yes,richman,10.8253,13.17309,0.78392,,6
yes,ruben,41.24152,25.72657,0.78303,,5
yes,venkana,341.83662,84.38895,0.60319,,13
yes,teesta,225.40688,66.47494,0.641,47,7
yes,ashley,200.9133,60.3312,0.69364,64,7
yes,richman,12.84835,14.36537,0.78239,,5
yes,richman,27.82401,22.96601,0.66292,,5
yes,venkana,335.07151,86.17572,0.56699,,11
yes,teresa,195.32877,59.62724,0.69038,20,7
yes,bhojaraj,218.53752,64.38371,0.6625,,11
yes,ranjith,228.34002,78.0019,0.47161,30,13
yes,martha,334.53616,73.16477,0.78532,66,5
yes,iqrha,246.00087,64.891,0.73414,6,7
yes,venkana,306.81922,79.33602,0.61256,,11
yes,kelvin,194.87232,62.88446,0.61926,70,11
yes,ranjith,286.1886,74.44539,0.64891,,9
yes,bhojaraj,257.52776,66.74419,0.72645,41,7
yes,richman,174.69815,59.47975,0.62053,,13
yes,ruben,213.90535,67.30424,0.5934,44,11
yes,venkana,249.14815,66.96557,0.69817,23,9
yes,bhojaraj,147.09955,48.64544,0.78115,,5
yes,ashley,371.51744,81.37154,0.70509,68,13
yes,richman,219.48706,63.75503,0.67856,48,9
