building,name,area,perim,shape,sample,vertices
yes,ashley,218.70939,61.99883,0.71501,58,7
yes,martha,231.52957,65.82108,0.67156,42,9
yes,iqrha,309.96932,79.89163,0.61028,,9
yes,bhavana,171.99887,56.13356,0.68595,54,13
yes,teresa,251.67838,66.37242,0.71793,,7
yes,andy,189.47657,66.1672,0.54385,20,17
yes,kelvin,193.88897,65.954,0.56012,26,13
yes,richman,229.16277,64.06667,0.7016,42,9
yes,ruben,237.44094,70.06713,0.60777,74,11
yes,bhavana,258.51674,68.73147,0.68768,43,17
yes,teesta,154.62823,56.07739,0.61791,,11
yes,ashley,203.98732,64.91514,0.6083,20,13
yes,bhojaraj,151.5204,55.79028,0.61174,31,7
yes,richman,379.11375,109.62792,0.3964,,22
yes,ruben,167.0145,58.13951,0.6209,,11
yes,teresa,230.74627,67.96546,0.62772,47,7
yes,bhojaraj,213.10233,61.46925,0.70873,58,7
yes,ranjith,227.51446,73.20316,0.53353,31,11
yes,martha,215.12256,66.5572,0.61025,44,11
yes,iqrha,238.94555,68.25542,0.64452,,9
yes,venkana,184.49502,60.01171,0.64376,62,11
yes,ranjith,186.77447,62.89352,0.59336,19,13
yes,andy,225.64074,76.51802,0.48428,46,13
yes,kelvin,199.42559,67.18447,0.5552,14,13
yes,richman,213.71093,58.47837,0.78532,,5
yes,ruben,30.46694,30.38038,0.41481,,5
yes,venkana,230.92941,67.04257,0.64564,,17
yes,teesta,209.49014,61.72984,0.69085,48,9
yes,ashley,221.68198,67.82196,0.60562,,11
yes,bhojaraj,226.70862,61.10217,0.76307,43,5
yes,richman,198.85362,62.84748,0.63266,,9
yes,ruben,292.27748,75.19802,0.64952,,11
yes,teresa,218.24167,61.85541,0.71679,55,9
yes,andy,203.09414,67.06275,0.56747,14,13
yes,ashley,262.76572,79.4425,0.52321,78,11
yes,richman,203.24629,64.66376,0.61082,64,9
yes,iqrha,265.03108,67.48134,0.73137,18,5
yes,bhavana,180.66869,62.41664,0.58276,52,13
yes,ashley,276.86791,95.47942,0.38165,1,17
yes,bhojaraj,263.0024,72.41466,0.63025,5,9
yes,kelvin,238.22142,66.79682,0.67093,21,9
yes,manohar,208.47579,65.59584,0.60885,65,10
yes,ruben,40.48922,26.38592,0.73081,,5
yes,bhavana,232.90175,65.08321,0.69095,,9
yes,teesta,192.09414,55.54324,0.78246,6,5
yes,ashley,183.88923,58.76844,0.66908,39,9
yes,richman,196.91227,59.46676,0.69974,55,9
yes,richman,232.89893,69.8669,0.59956,,13
yes,venkana,132.21406,47.92142,0.72348,36,7
yes,teresa,203.79854,65.39848,0.59879,10,13
yes,andy,259.26341,68.60463,0.69222,23,9
yes,ashley,241.673,69.03869,0.63717,60,9
yes,richman,174.99118,57.56368,0.66363,46,7
yes,iqrha,254.84257,65.18393,0.7537,43,5
yes,venkana,213.53342,60.97195,0.7218,55,9
yes,kelvin,275.21678,83.84722,0.49193,78,11
yes,ranjith,233.33003,64.59841,0.70265,65,7
yes,bhojaraj,206.39357,57.50647,0.78428,55,5
yes,manohar,242.27879,64.56194,0.73042,42,7
yes,ruben,202.82646,64.31442,0.61619,12,9
yes,venkana,356.14168,83.39469,0.64351,,13
yes,bhojaraj,163.65871,58.18418,0.60749,33,7
yes,ashley,208.50397,64.57171,0.6284,40,11
yes,richman,188.31289,65.33862,0.55431,3,9
yes,iqrha,165.45353,55.41601,0.67704,,9
yes,venkana,261.68939,85.20846,0.45293,1,13
yes,teresa,231.42532,72.25695,0.55701,31,13
yes,bhojaraj,186.96044,59.70995,0.65897,,7
yes,ashley,167.05676,56.57147,0.65596,46,9
yes,martha,204.09157,70.13583,0.52138,16,19
yes,ruben,267.14994,82.69089,0.49096,78,11
yes,bhavana,263.59128,68.91615,0.69743,44,11
yes,teesta,232.11563,62.45068,0.74789,50,7
yes,ashley,214.64075,68.37539,0.57693,55,19
yes,andy,224.42635,77.96361,0.46398,1,11
yes,manohar,228.1766,65.49143,0.66852,,9
yes,ruben,121.58035,46.27743,0.7134,30,7
yes,bhavana,239.95426,63.92916,0.7378,50,9
yes,bhojaraj,245.04288,78.69712,0.4972,1,9
yes,ashley,229.12614,66.41068,0.65284,21,9
yes,richman,232.47629,63.21395,0.73108,17,7
yes,iqrha,195.79931,66.18116,0.56176,,10
yes,bhavana,201.36975,65.53042,0.58927,14,13
yes,teresa,178.87386,58.22923,0.66294,26,9
yes,bhojaraj,262.39097,69.78737,0.67703,71,7
yes,ashley,827.66777,123.19842,0.68526,,5
yes,richman,247.52802,67.21699,0.68846,44,11
yes,ruben,214.70837,78.61784,0.43653,,10
yes,venkana,291.22651,71.04278,0.7251,,7
yes,teesta,223.54161,63.14307,0.70456,58,9
yes,ranjith,299.01441,72.70389,0.71086,,9
yes,andy,217.32876,62.80469,0.69238,58,11
yes,richman,43.35474,27.7066,0.70971,,7
yes,ruben,129.70919,47.88518,0.71085,,8
yes,teresa,250.24984,65.20514,0.73964,76,7
yes,bhojaraj,197.38563,61.40995,0.65773,16,9
yes,ashley,22.71848,21.65454,0.60882,,5
yes,martha,199.91868,64.21979,0.60915,26,13
yes,iqrha,181.99579,63.36648,0.56958,19,13
yes,bhavana,178.71326,56.08019,0.71408,53,9
yes,ranjith,245.05697,68.62139,0.65397,18,7
yes,andy,197.69839,65.95522,0.5711,3,9
yes,kelvin,205.91176,63.95336,0.63265,,11
yes,richman,179.61208,61.48525,0.59704,19,13
yes,ruben,184.08646,58.84655,0.66802,,7
yes,bhavana,249.81875,71.175,0.6197,63,9
yes,teesta,251.96859,66.53908,0.71516,23,9
yes,ashley,273.50085,71.63382,0.66978,67,9
yes,richman,211.92456,59.01694,0.76461,,7
yes,richman,231.59719,71.18696,0.5743,,13
yes,ruben,17.99051,17.41183,0.7457,,5
yes,teresa,283.94014,72.03788,0.68757,,9
yes,bhojaraj,151.5683,49.35695,0.78185,27,5
yes,kelvin,255.64841,68.33921,0.68788,44,11
yes,martha,196.82493,63.19494,0.61933,72,9
yes,iqrha,254.23678,66.38321,0.72499,,7
yes,bhavana,245.58668,72.04265,0.59461,12,13
yes,kelvin,237.4184,75.02977,0.52998,79,11
yes,ranjith,301.3474,74.58472,0.68073,,9
yes,andy,175.47299,53.00836,0.78475,9,5
yes,manohar,256.14149,68.71018,0.68178,44,11
yes,ruben,133.09034,48.15954,0.72109,36,7
yes,venkana,223.68249,80.16784,0.43736,,9
yes,bhojaraj,360.34839,83.02771,0.65688,22,9
yes,ranjith,124.72482,46.83044,0.71467,37,7
yes,richman,207.98553,64.48019,0.62862,20,11
yes,richman,309.34381,77.04638,0.65486,,7
yes,venkana,219.6702,79.07748,0.44144,,9
yes,teresa,235.20938,72.29618,0.5655,12,13
yes,andy,189.03702,56.90255,0.73366,55,9
yes,ranjith,335.74774,73.59367,0.77901,,5
yes,martha,226.7537,66.22352,0.64974,47,7
yes,iqrha,238.52009,73.95712,0.54799,31,11
yes,bhavana,226.5142,69.62365,0.58721,,11
yes,kelvin,391.57045,89.03525,0.62072,22,9
yes,ashley,233.33848,66.05116,0.6721,9,11
yes,bhojaraj,237.09437,62.62333,0.75973,28,7
yes,richman,226.19299,73.50916,0.52602,29,15
yes,ruben,68.64289,36.87408,0.6344,,5
yes,bhavana,219.13767,67.48081,0.60474,33,11
yes,bhojaraj,226.10847,64.92775,0.67401,62,9
yes,ashley,244.38074,67.76754,0.6687,65,11
yes,richman,157.79806,53.91668,0.68213,52,9
yes,iqrha,39.48896,25.30246,0.7751,,5
yes,bhavana,167.34698,55.24922,0.68893,,9
yes,teresa,331.30153,80.88329,0.63638,2,11
yes,andy,281.27749,70.68291,0.70748,2,9
yes,ranjith,188.79189,57.29155,0.72279,,9
yes,martha,127.68896,47.45629,0.71248,24,7
yes,ruben,103.18129,42.98285,0.70181,,5
yes,venkana,193.21837,59.32389,0.68992,20,7
yes,teesta,184.93738,54.55034,0.78098,40,5
yes,ranjith,213.97297,58.58457,0.78343,,5
yes,bhojaraj,277.68502,66.67604,0.78491,,5
yes,richman,170.42664,54.39301,0.72387,35,7
yes,ruben,226.71989,68.40326,0.6089,28,11
yes,bhavana,249.40737,73.02268,0.58776,31,11
yes,bhojaraj,204.37897,59.70748,0.72042,65,7
yes,ranjith,267.22883,70.10194,0.68333,,9
yes,martha,227.17634,68.9047,0.60128,74,11
yes,iqrha,249.35384,73.98132,0.57251,12,13
yes,venkana,279.08538,74.97341,0.62392,,9
yes,ranjith,280.28569,75.3568,0.62025,,15
yes,andy,208.41662,68.11368,0.56451,,11
yes,ranjith,253.69016,69.30867,0.66365,44,9
yes,martha,29.10039,21.90311,0.76225,,5
yes,ruben,29.47514,21.7191,0.7852,,5
yes,bhavana,272.59921,73.77567,0.62937,62,13
yes,teesta,189.30188,60.31547,0.65389,49,9
yes,ashley,23.06505,19.48826,0.76316,,5
yes,bhojaraj,209.96631,61.15065,0.7056,38,7
yes,richman,204.31698,68.48527,0.54742,30,13
yes,ruben,114.53912,46.71259,0.65962,10,9
yes,teresa,163.36568,55.63073,0.66335,35,7
yes,bhojaraj,189.84005,60.71341,0.64718,69,7
yes,ashley,121.52682,45.84451,0.72662,52,7
yes,martha,381.68905,93.18181,0.5524,22,13
yes,iqrha,180.31649,64.03744,0.55256,37,11
yes,bhavana,181.04907,59.225,0.64863,,13
yes,ranjith,221.56646,66.06895,0.63785,,9
yes,bhojaraj,224.88844,65.00229,0.66884,21,9
yes,kelvin,260.53134,72.91296,0.61583,80,9
yes,richman,200.11309,66.84706,0.56276,14,13
yes,ruben,136.66872,58.59335,0.50024,,9
yes,venkana,255.54979,72.79334,0.60604,,9
yes,teesta,255.21449,76.4199,0.54916,43,35
yes,ranjith,255.24267,68.14946,0.69062,6,9
yes,richman,175.57161,55.18279,0.72453,,9
yes,richman,275.72396,79.35273,0.55025,,11
yes,ruben,61.2889,31.49998,0.77619,,6
yes,teresa,224.24884,67.27332,0.62266,,11
yes,andy,239.61896,65.95327,0.69224,21,9
yes,ashley,205.02702,63.39191,0.64114,35,10
yes,richman,239.61614,65.49709,0.70191,21,9
yes,iqrha,237.2916,66.66098,0.67104,10,9
yes,venkana,203.47451,57.91586,0.7623,42,7
yes,kelvin,236.29698,69.36007,0.61723,74,13
yes,ranjith,204.47477,57.21603,0.7849,7,5
yes,andy,158.63771,55.08089,0.65707,64,9
yes,manohar,263.48985,71.7737,0.64275,75,12
yes,ruben,378.66856,79.67532,0.74959,,8
yes,bhavana,197.90408,59.28326,0.70762,49,7
yes,bhojaraj,140.85007,47.73146,0.77689,26,5
yes,ashley,247.69708,68.36484,0.66599,,9
yes,richman,170.46608,59.63341,0.60238,24,11
yes,iqrha,256.5106,73.56863,0.59557,59,13
yes,venkana,183.25808,56.54719,0.7202,,7
yes,teresa,261.75137,74.59769,0.59108,62,15
yes,bhojaraj,221.20862,61.62472,0.73198,,5
yes,kelvin,231.29007,65.0347,0.68719,58,7
yes,richman,241.03059,73.11275,0.56662,38,13
yes,iqrha,255.02008,69.68738,0.6599,75,9
yes,bhavana,177.55803,64.62837,0.5342,27,11
yes,kelvin,179.73042,57.8445,0.675,51,9
yes,ranjith,281.09998,71.08734,0.69901,,7
yes,andy,158.52219,55.84398,0.63877,54,9
yes,manohar,309.57204,79.85798,0.61001,22,8
yes,ruben,26.33631,21.21178,0.73555,,7
yes,bhavana,179.14436,57.84222,0.67286,3,7
yes,bhojaraj,257.05158,67.31869,0.71278,23,9
yes,ranjith,156.89924,55.25631,0.64575,,7
yes,martha,243.55236,63.49953,0.75903,,11
yes,iqrha,164.13207,57.57339,0.62224,24,11
yes,bhavana,166.71019,57.53735,0.63281,24,9
yes,teresa,183.14538,64.04167,0.56115,59,11
yes,andy,180.35593,60.98085,0.60947,49,11
yes,kelvin,192.13077,64.6613,0.57745,16,13
yes,richman,250.19349,65.45564,0.73382,41,7
yes,ruben,24.14701,20.44982,0.72559,,5
yes,venkana,149.94535,54.38318,0.63711,27,10
yes,teesta,180.79548,63.45741,0.5642,16,15
yes,ranjith,212.75858,67.23982,0.59135,,7
yes,andy,158.98428,55.56566,0.64707,11,11
yes,richman,235.277,66.70849,0.6644,34,9
yes,ruben,25.35014,21.55217,0.68582,,5
yes,bhavana,305.95421,72.69724,0.7275,2,7
yes,bhojaraj,217.6866,60.44273,0.74878,,5
yes,ashley,168.26552,56.3228,0.66656,51,9
yes,martha,239.81056,64.67153,0.72053,,7
yes,iqrha,250.14277,72.99227,0.58999,60,13
yes,venkana,198.56622,59.69796,0.70016,,7
yes,ranjith,266.90762,70.47002,0.6754,,9
yes,bhojaraj,171.317,52.86482,0.77033,7,5
yes,ranjith,216.78777,58.95513,0.78379,14,5
yes,richman,183.21864,60.70865,0.62471,26,11
yes,ruben,307.87301,76.0549,0.66885,,9
yes,bhavana,214.99577,68.58636,0.57433,20,11
yes,teesta,134.13849,49.08689,0.69957,46,5
yes,ranjith,231.28725,64.30401,0.70289,38,7
yes,bhojaraj,134.14694,48.21541,0.72513,52,7
yes,richman,255.77802,66.82553,0.71976,,9
yes,ruben,83.43822,36.84795,0.77223,39,5
yes,teresa,232.94401,65.72201,0.6777,21,9
yes,andy,147.60672,54.4325,0.62604,37,7
yes,ranjith,410.86552,81.24873,0.78212,,5
yes,martha,251.41352,66.0893,0.72333,,9
yes,iqrha,222.17788,66.73163,0.62697,47,7
yes,bhavana,265.3861,76.86136,0.56451,51,15
yes,ranjith,230.78008,65.63617,0.67316,11,9
yes,andy,246.26854,69.60278,0.6388,28,13
yes,kelvin,244.6625,68.53068,0.65465,75,9
yes,manohar,258.90276,66.94677,0.72592,,9
yes,ruben,229.43044,70.28308,0.58366,75,11
yes,venkana,169.21224,57.20863,0.64971,11,11
yes,teesta,203.10259,65.14627,0.60138,62,15
yes,ranjith,203.28573,65.71347,0.59157,,11
yes,richman,234.99524,65.19864,0.69469,,9
yes,richman,294.19346,74.01796,0.67479,,9
yes,venkana,240.51778,68.87306,0.63717,18,7
yes,teresa,259.5818,66.06801,0.74731,43,5
yes,bhojaraj,224.40662,70.61491,0.56553,60,9
yes,kelvin,197.33774,63.43929,0.61617,53,13
yes,richman,35.82887,24.42448,0.75473,,5
yes,iqrha,229.32901,65.19741,0.67797,58,7
yes,venkana,170.81828,58.17901,0.63418,49,9
yes,kelvin,244.43709,79.02901,0.49182,1,9
yes,ashley,229.92352,63.15011,0.72451,45,7
yes,bhojaraj,158.61798,54.70027,0.66617,34,7
yes,manohar,270.50572,84.1676,0.47984,78,11
yes,ruben,32.74639,22.92693,0.78285,,5
yes,bhavana,222.61461,62.80719,0.70916,,9
yes,bhojaraj,141.32343,47.75512,0.77872,,5
yes,ranjith,403.88627,99.32986,0.51441,,17
yes,richman,267.4486,70.61651,0.67396,60,7
yes,iqrha,272.02724,67.9638,0.74006,25,7
yes,venkana,270.75649,77.42106,0.56764,,11
yes,teresa,309.70729,77.30739,0.65121,57,9
yes,bhojaraj,171.00707,52.54069,0.77845,39,5
yes,ashley,194.28907,59.75954,0.68367,27,9
yes,martha,242.6958,72.50317,0.58017,73,11
yes,ruben,179.21761,60.98158,0.60561,33,7
yes,bhavana,177.04241,56.65159,0.69321,37,7
yes,teesta,235.23756,65.82541,0.68223,63,15
yes,ashley,251.67556,72.60747,0.59991,5,9
yes,andy,129.57113,52.77435,0.58462,,11
yes,richman,171.14795,59.81294,0.60116,37,11
yes,ruben,178.9443,59.89168,0.62689,,7
yes,bhavana,194.70608,67.11339,0.54321,,11
yes,bhojaraj,183.59901,59.37021,0.65455,,11
yes,ranjith,322.04565,79.34934,0.64275,,7
yes,martha,210.57492,63.86118,0.64885,27,9
yes,iqrha,247.26035,66.20583,0.70888,,7
yes,venkana,120.62518,45.96996,0.7173,19,7
yes,teresa,262.75163,70.5994,0.66245,75,9
yes,bhojaraj,184.06392,63.40497,0.57535,51,11
yes,ashley,317.67552,71.32749,0.78466,66,5
yes,martha,205.08056,66.74661,0.57846,10,13
yes,ruben,118.20203,45.45844,0.7188,19,7
yes,venkana,188.86515,58.67798,0.6893,65,7
yes,teesta,33.52687,24.14877,0.72246,,5
yes,ashley,263.57719,71.217,0.65306,62,11
yes,bhojaraj,188.67073,58.83479,0.68493,,5
yes,richman,23.2651,20.07373,0.72553,,5
yes,ruben,23.73282,19.67853,0.77015,,5
yes,teresa,187.87335,59.41369,0.66881,46,7
yes,bhojaraj,157.87413,50.26131,0.78533,,5
yes,ranjith,261.05824,65.13452,0.77326,25,5
yes,martha,217.16815,65.90443,0.62831,55,23
yes,iqrha,257.12484,70.84092,0.64385,,7
yes,bhavana,211.01165,60.05798,0.73515,60,7
yes,ranjith,248.67761,72.34904,0.59701,,11
yes,andy,213.49116,66.84503,0.60041,63,13
yes,kelvin,219.61667,62.36033,0.70967,55,9
yes,richman,204.71145,65.2419,0.60436,7,11
yes,ruben,332.9752,72.99744,0.78525,66,5
yes,bhavana,220.214,66.84882,0.61925,7,11
yes,teesta,194.44967,56.82506,0.75672,42,7
yes,ashley,220.15483,62.31868,0.71236,50,9
yes,bhojaraj,178.83442,60.68516,0.61023,54,11
yes,richman,228.09771,64.82626,0.68207,,9
yes,ruben,176.91562,61.80306,0.58204,29,13
yes,teresa,262.05568,70.54976,0.66163,23,11
yes,bhojaraj,212.17251,70.02302,0.54377,,11
yes,ranjith,197.17431,56.2026,0.78442,,5
yes,martha,203.14203,67.66759,0.5575,20,15
yes,iqrha,231.59156,67.10398,0.6463,,9
yes,venkana,212.37538,67.19619,0.59105,7,11
yes,kelvin,245.15277,64.26982,0.74582,43,5
yes,ranjith,280.32231,72.91774,0.66252,13,9
yes,bhojaraj,215.89459,66.44734,0.61446,79,9
yes,richman,22.9298,19.35411,0.76924,,5
yes,ruben,198.11822,58.58851,0.72529,,7
yes,venkana,285.53773,73.67272,0.66109,57,11
yes,teesta,208.53496,65.81117,0.60505,,11
yes,ashley,290.62072,76.21433,0.62873,31,9
yes,richman,9.28688,12.33582,0.76691,,5
yes,richman,205.12846,64.44705,0.62063,,11
yes,venkana,172.41588,57.38498,0.65795,51,11
yes,teresa,258.42658,76.77895,0.55089,79,11
yes,andy,213.89689,63.652,0.66342,48,9
yes,ashley,258.59,71.30019,0.6392,43,33
yes,martha,302.77876,86.97327,0.50299,56,17
yes,iqrha,269.4463,70.70139,0.67737,,7
yes,bhavana,23.23974,19.96726,0.73249,,5
yes,kelvin,198.50705,63.56497,0.61738,12,9
yes,ashley,7.771,11.16114,0.78392,,5
yes,bhojaraj,228.17096,64.34655,0.6925,,9
yes,manohar,252.64764,66.47296,0.71851,,7
yes,ruben,116.1508,45.23961,0.71317,,7
yes,bhavana,289.38378,73.34369,0.67602,57,11
yes,bhojaraj,162.67536,55.84748,0.65543,24,9
yes,ashley,156.37234,58.14791,0.58117,,15
yes,richman,223.97271,61.28863,0.74928,50,9
yes,iqrha,205.12282,65.32944,0.60396,26,11
yes,bhavana,173.44713,58.3044,0.64117,11,11
yes,teresa,199.23118,65.2745,0.5876,,9
yes,andy,216.6159,70.26879,0.55128,38,13
yes,ranjith,174.13462,57.18398,0.66918,,7
yes,richman,216.79341,62.33561,0.70111,40,9
yes,ruben,133.79756,48.42746,0.71693,7,7
yes,venkana,208.56314,67.68123,0.57215,3,9
yes,teesta,260.06925,64.96281,0.77441,25,5
yes,ranjith,221.62281,67.56556,0.61006,,9
yes,bhojaraj,206.85284,64.4937,0.62494,72,9
yes,manohar,235.02342,66.35944,0.67068,,9
yes,ruben,25.67698,21.27258,0.71304,,5
yes,bhavana,268.43759,70.2657,0.68323,21,9
yes,bhojaraj,234.49089,65.31379,0.69076,48,9
yes,ashley,308.61687,74.70327,0.69494,,7
yes,richman,274.09819,72.24301,0.65997,,10
yes,iqrha,205.12564,65.32948,0.60396,27,11
yes,bhavana,259.14507,70.62893,0.65281,,9
yes,teresa,161.28064,55.82544,0.65032,36,7
yes,bhojaraj,328.45292,85.00101,0.57126,,11
yes,ranjith,245.14431,72.01328,0.59403,72,11
yes,martha,200.33568,64.43807,0.60629,79,9
yes,ruben,159.90282,69.56967,0.41517,70,13
yes,bhavana,193.56776,60.56569,0.66312,26,9
yes,teesta,233.94145,64.79352,0.70025,21,9
yes,ashley,197.26166,63.97736,0.60562,3,9
yes,bhojaraj,164.70405,54.2746,0.70262,64,7
yes,richman,103.2799,48.16101,0.55954,,9
yes,ruben,201.71914,57.35072,0.77069,,7
yes,teresa,194.93994,66.84249,0.54828,16,13
yes,bhojaraj,372.96006,82.93503,0.68139,,11
yes,ashley,242.86204,64.97306,0.72294,42,7
yes,richman,278.18374,75.18567,0.6184,5,11
yes,iqrha,264.8423,69.42419,0.69052,28,10
yes,venkana,242.42813,68.08363,0.65721,43,19
yes,ranjith,195.11181,61.00506,0.65881,46,7
yes,bhojaraj,225.99294,67.00052,0.63263,74,9
yes,kelvin,240.90098,64.49461,0.72778,42,8
yes,richman,216.42712,68.49392,0.57972,,11
yes,ruben,244.23986,81.39748,0.46324,1,11
yes,venkana,223.31057,64.15254,0.68185,21,9
yes,teesta,223.40355,61.26269,0.74801,18,5
yes,ranjith,262.16838,69.71744,0.67781,67,9
yes,bhojaraj,337.14528,75.72852,0.73877,,5
yes,richman,203.53368,68.70354,0.54186,,11
yes,ruben,289.38378,84.53376,0.50889,22,11
yes,teresa,217.37384,66.37932,0.61994,72,9
yes,bhojaraj,188.36079,55.03159,0.78158,,5
yes,ashley,111.25377,43.6552,0.73359,24,7
yes,richman,229.42762,65.2116,0.67796,65,9
yes,iqrha,335.75056,76.87389,0.71395,,7
yes,bhavana,27.33374,22.88861,0.65565,,9
yes,kelvin,133.6116,48.40082,0.71672,37,7
yes,ashley,271.61868,72.5768,0.648,28,11
yes,andy,239.30902,64.7106,0.71815,41,7
yes,manohar,215.37051,77.78338,0.44732,,9
yes,ruben,125.64336,47.29674,0.70581,,9
yes,bhavana,253.7606,67.5198,0.69947,41,9
yes,teesta,135.35007,52.30122,0.62179,64,11
yes,ashley,289.99521,82.30921,0.5379,57,21
yes,richman,265.5777,72.18684,0.64045,56,9
yes,richman,220.30698,70.82641,0.55188,,13
yes,venkana,225.17301,60.29258,0.77839,45,5
yes,teresa,202.13896,66.2617,0.57854,33,13
yes,bhojaraj,239.60769,61.91894,0.78535,,5
yes,ranjith,143.38874,48.00751,0.78182,,5
yes,martha,127.47764,47.0357,0.72408,37,7
yes,iqrha,193.5424,67.35004,0.53618,14,11
yes,venkana,143.62542,50.34476,0.71209,26,7
yes,kelvin,290.04592,73.82632,0.66873,57,9
yes,ranjith,263.7857,72.81254,0.62524,80,11
yes,andy,33.7382,23.91303,0.74142,,6
yes,manohar,276.52134,67.89848,0.75373,,7
yes,ruben,208.77164,66.86411,0.58681,,7
yes,venkana,237.35641,66.43573,0.67578,58,11
yes,bhojaraj,210.72989,65.8575,0.61056,20,11
yes,ranjith,235.71655,65.65314,0.68721,,13
yes,richman,235.63766,65.60091,0.68807,11,9
